l_A_017.dot	C	17	16	87,33	87:99-105:28:28:0:0:1:0:0|33:8-48:0:0:1:1:1:0:0
l_A_027.dot	C	17	26	87,33	87:99-105:28:28:0:0:1:0:0|33:8-48:0:0:1:1:1:0:0
l_A_037.dot	C	17	36	87,33	87:99-105:28:28:0:0:1:0:0|33:8-48:0:0:1:1:1:0:0
l_A_047.dot	C	17	46	87,33	87:99-105:28:28:0:0:1:0:0|33:8-48:0:0:1:1:1:0:0
l_A_057.dot	C	17	56	87,33	87:99-105:28:28:0:0:1:0:0|33:8-48:0:0:1:1:1:0:0
l_A_067.dot	C	17	66	87,33	87:99-105:28:28:0:0:1:0:0|33:8-48:0:0:1:1:1:0:0
l_A_077.dot	C	17	76	87,33	87:99-105:28:28:0:0:1:0:0|33:8-48:0:0:1:1:1:0:0
l_A_087.dot	C	17	86	87,33	87:99-105:28:28:0:0:1:0:0|33:8-48:0:0:1:1:1:0:0
l_A_097.dot	C	17	96	87,33	87:99-105:28:28:0:0:1:0:0|33:8-48:0:0:1:1:1:0:0
l_A_097.dot	P	17	96	87,33	96:127-134:32:32:0:0:1:0:0
l_A_117.dot	C	17	116	87,33	87:99-105:28:28:0:0:1:0:0|33:8-48:0:0:1:1:1:0:0
l_A_117.dot	P	17	116	87,33	116:127-134:40:40:0:0:1:0:0
l_B_027.dot	C	18	26	33,87	33:8-48:0:0:1:1:1:0:0|87:99-105:28:28:0:0:1:0:0
l_B_047.dot	C	18	46	33,87	33:8-48:0:0:1:1:1:0:0|87:99-105:28:28:0:0:1:0:0
l_B_067.dot	C	18	66	33,87	33:8-48:0:0:1:1:1:0:0|87:99-105:28:28:0:0:1:0:0
l_B_087.dot	C	18	86	33,87	33:8-48:0:0:1:1:1:0:0|87:99-105:28:28:0:0:1:0:0
l_B_117.dot	C	18	116	33,87	33:8-48:0:0:1:1:1:0:0|87:99-105:28:28:0:0:1:0:0
l_B_117.dot	P	18	116	33,87	116:127-134:40:40:0:0:1:0:0
l_C_017.dot	C	18	16	93	93:130-134:30:30:0:0:1:0:0
l_C_047.dot	C	18	46	93	93:130-134:30:30:0:0:1:0:0
l_C_087.dot	C	18	86	93	93:130-134:30:30:0:0:1:0:0
l_C_127.dot	C	18	126	93	93:130-134:30:30:0:0:1:0:0
l_C_127.dot	P	18	126	93	126:127-134:44:44:0:0:1:0:0
l_D_30_30.dot	P	20	126	30,30	126:127-134:44:44:0:0:1:0:0
l_D_30_60.dot	C	20	126	30,60	30:42-44:0:0:0:0:5:0:0|60:87-89:0:0:0:0:11:0:0
l_D_30_60.dot	P	20	126	30,60	126:127-134:44:44:0:0:1:0:0
l_D_40_40.dot	P	20	126	40,40	126:127-134:44:44:0:0:1:0:0
l_D_40_50.dot	C	20	126	40,50	40:57-59:0:0:0:0:7:0:0|50:72-74:0:0:0:0:9:0:0
l_D_40_50.dot	P	20	126	40,50	126:127-134:44:44:0:0:1:0:0
l_D_45_45.dot	C	20	126	45,45	45:64-66:0:0:0:0:8:0:0|45:64-66:0:0:0:0:8:0:0
l_D_45_45.dot	P	20	126	45,45	126:127-134:44:44:0:0:1:0:0
l_D_50_40.dot	C	20	126	50,40	50:72-74:0:0:0:0:9:0:0|40:57-59:0:0:0:0:7:0:0
l_D_50_40.dot	P	20	126	50,40	126:127-134:44:44:0:0:1:0:0
l_D_50_50.dot	C	20	126	50,50	50:58-65:0:0:0:0:9:0:0|50:58-65:0:0:0:0:9:0:0
l_D_50_50.dot	P	20	126	50,50	126:127-134:44:44:0:0:1:0:0
l_D_55_45.dot	C	20	126	55,45	55:66-72:0:0:0:0:10:0:0|45:58-63:0:0:0:0:8:0:0
l_D_55_45.dot	P	20	126	55,45	126:127-134:44:44:0:0:1:0:0
l_D_60_30.dot	C	20	126	60,30	60:87-89:0:0:0:0:11:0:0|30:42-44:0:0:0:0:5:0:0
l_D_60_30.dot	P	20	126	60,30	126:127-134:44:44:0:0:1:0:0
l_E_000.dot	C	18	16	87,33	87:99-105:28:28:0:0:1:0:0|33:8-48:0:0:1:1:1:0:0
l_Exxxxxxxxxxxxxxxxxxxxxxxxxxxxxx_030.dot	C	48	16	87,33	87:99-105:28:28:0:0:1:0:0|33:8-48:0:0:1:1:1:0:0
l_Exxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx_060.dot	C	78	16	87,33	87:99-105:28:28:0:0:1:0:0|33:8-48:0:0:1:1:1:0:0
l_Exxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx_110.dot	C	127	16	87,33	87:99-105:28:28:0:0:1:0:0|33:8-48:0:0:1:1:1:0:0
l_FN_4_4_8.dot	C	21	16	25,25,45	25:34-36:0:0:0:0:4:0:0|25:34-36:0:0:0:0:4:0:0|45:58-63:0:0:0:0:8:0:0
l_FN_5_5_5.dot	C	21	16	30,30,30	30:42-44:0:0:0:0:5:0:0|30:42-44:0:0:0:0:5:0:0|30:42-44:0:0:0:0:5:0:0
l_FN_6_6_6.dot	C	21	16	35,35,35	35:43-48:0:0:0:0:6:0:0|35:43-48:0:0:0:0:6:0:0|35:43-48:0:0:0:0:6:0:0
l_FN_8_4_4.dot	C	21	16	45,25,25	45:58-63:0:0:0:0:8:0:0|25:34-36:0:0:0:0:4:0:0|25:34-36:0:0:0:0:4:0:0
l_FN_8_8_8.dot	C	21	16	45,45,45	45:43-50:0:0:0:0:8:0:0|45:43-50:0:0:0:0:8:0:0|45:43-50:0:0:0:0:8:0:0
l_FW_4_4_8.dot	C	21	126	25,25,45	25:34-36:0:0:0:0:4:0:0|25:34-36:0:0:0:0:4:0:0|45:58-63:0:0:0:0:8:0:0
l_FW_4_4_8.dot	P	21	126	25,25,45	126:127-134:44:44:0:0:1:0:0
l_FW_5_5_5.dot	C	21	126	30,30,30	30:42-44:0:0:0:0:5:0:0|30:42-44:0:0:0:0:5:0:0|30:42-44:0:0:0:0:5:0:0
l_FW_5_5_5.dot	P	21	126	30,30,30	126:127-134:44:44:0:0:1:0:0
l_FW_6_6_6.dot	C	21	126	35,35,35	35:43-48:0:0:0:0:6:0:0|35:43-48:0:0:0:0:6:0:0|35:43-48:0:0:0:0:6:0:0
l_FW_6_6_6.dot	P	21	126	35,35,35	126:127-134:44:44:0:0:1:0:0
l_FW_8_4_4.dot	C	21	126	45,25,25	45:58-63:0:0:0:0:8:0:0|25:34-36:0:0:0:0:4:0:0|25:34-36:0:0:0:0:4:0:0
l_FW_8_4_4.dot	P	21	126	45,25,25	126:127-134:44:44:0:0:1:0:0
l_FW_8_8_8.dot	C	21	126	45,45,45	45:43-50:0:0:0:0:8:0:0|45:43-50:0:0:0:0:8:0:0|45:43-50:0:0:0:0:8:0:0
l_FW_8_8_8.dot	P	21	126	45,45,45	126:127-134:44:44:0:0:1:0:0
l_G_30_60.dot	C	20	16	30,60	30:42-44:0:0:0:0:5:0:0|60:87-89:0:0:0:0:11:0:0
l_G_40_50.dot	C	20	16	40,50	40:57-59:0:0:0:0:7:0:0|50:72-74:0:0:0:0:9:0:0
l_G_45_45.dot	C	20	16	45,45	45:64-66:0:0:0:0:8:0:0|45:64-66:0:0:0:0:8:0:0
l_G_50_40.dot	C	20	16	50,40	50:72-74:0:0:0:0:9:0:0|40:57-59:0:0:0:0:7:0:0
l_G_50_50.dot	C	20	16	50,50	50:58-65:0:0:0:0:9:0:0|50:58-65:0:0:0:0:9:0:0
l_G_55_45.dot	C	20	16	55,45	55:66-72:0:0:0:0:10:0:0|45:58-63:0:0:0:0:8:0:0
l_G_60_30.dot	C	20	16	60,30	60:87-89:0:0:0:0:11:0:0|30:42-44:0:0:0:0:5:0:0
l_H_10.dot	C	17	126	87,21	87:106-113:28:28:0:0:1:0:0|21:8-30:0:0:1:1:1:0:0
l_H_10.dot	P	17	126	87,21	126:127-134:44:44:0:0:1:0:0
l_H_20.dot	C	17	126	87,31	87:99-105:28:28:0:0:1:0:0|31:8-45:0:0:1:1:1:0:0
l_H_20.dot	P	17	126	87,31	126:127-134:44:44:0:0:1:0:0
l_H_30.dot	C	17	126	87,41	87:91-98:28:28:0:0:1:0:0|41:8-60:0:0:1:1:1:0:0
l_H_30.dot	P	17	126	87,41	126:127-134:44:44:0:0:1:0:0
l_H_40.dot	C	17	126	87,51	87:84-90:28:28:0:0:1:0:0|51:8-75:0:0:1:1:1:0:0
l_H_40.dot	P	17	126	87,51	126:127-134:44:44:0:0:1:0:0
l_H_55.dot	C	17	126	87,66	87:76-83:28:28:0:0:1:0:0|66:8-98:0:0:1:1:1:0:0
l_H_55.dot	P	17	126	87,66	126:127-134:44:44:0:0:1:0:0
